year,month,state,size,capacity
2007,1,aus,0,0
2007,1,aus,1,0
2007,1,aus,2,0
2007,1,aus,3,0
2007,1,aus,4,0
2007,1,aus,5,0
2007,1,aus,6,0
2007,1,aus,7,0
2007,1,aus,8,0
2007,1,aus,9,0
2007,1,aus,a,0
2007,2,aus,0,0
2007,2,aus,1,0
2007,2,aus,2,0
2007,2,aus,3,0
2007,2,aus,4,0
2007,2,aus,5,0
2007,2,aus,6,0
2007,2,aus,7,0
2007,2,aus,8,0
2007,2,aus,9,0
2007,2,aus,a,0
2007,3,aus,0,0
2007,3,aus,1,0
2007,3,aus,2,0
2007,3,aus,3,0
2007,3,aus,4,0
2007,3,aus,5,0
2007,3,aus,6,0
2007,3,aus,7,0
2007,3,aus,8,0
2007,3,aus,9,0
2007,3,aus,a,0
2007,4,aus,0,0
2007,4,aus,1,0
2007,4,aus,2,0
2007,4,aus,3,0
2007,4,aus,4,0
2007,4,aus,5,0
2007,4,aus,6,0
2007,4,aus,7,0
2007,4,aus,8,0
2007,4,aus,9,0
2007,4,aus,a,0
2007,5,aus,0,0
2007,5,aus,1,0
2007,5,aus,2,0
2007,5,aus,3,0
2007,5,aus,4,0
2007,5,aus,5,0
2007,5,aus,6,0
2007,5,aus,7,0
2007,5,aus,8,0
2007,5,aus,9,0
2007,5,aus,a,0
2007,6,aus,0,0
2007,6,aus,1,0
2007,6,aus,2,0
2007,6,aus,3,0
2007,6,aus,4,0
2007,6,aus,5,0
2007,6,aus,6,0
2007,6,aus,7,0
2007,6,aus,8,0
2007,6,aus,9,0
2007,6,aus,a,0
2007,7,aus,0,0
2007,7,aus,1,0
2007,7,aus,2,0
2007,7,aus,3,0
2007,7,aus,4,0
2007,7,aus,5,0
2007,7,aus,6,0
2007,7,aus,7,0
2007,7,aus,8,0
2007,7,aus,9,0
2007,7,aus,a,0
2007,8,aus,0,0
2007,8,aus,1,0
2007,8,aus,2,0
2007,8,aus,3,0
2007,8,aus,4,0
2007,8,aus,5,0
2007,8,aus,6,0
2007,8,aus,7,0
2007,8,aus,8,0
2007,8,aus,9,0
2007,8,aus,a,0
2007,9,aus,0,0
2007,9,aus,1,0
2007,9,aus,2,0
2007,9,aus,3,0
2007,9,aus,4,0
2007,9,aus,5,0
2007,9,aus,6,0
2007,9,aus,7,0
2007,9,aus,8,0
2007,9,aus,9,0
2007,9,aus,a,0
2007,10,aus,0,0
2007,10,aus,1,0
2007,10,aus,2,0
2007,10,aus,3,0
2007,10,aus,4,0
2007,10,aus,5,0
2007,10,aus,6,0
2007,10,aus,7,0
2007,10,aus,8,0
2007,10,aus,9,0
2007,10,aus,a,0
2007,11,aus,0,0
2007,11,aus,1,0
2007,11,aus,2,0
2007,11,aus,3,0
2007,11,aus,4,0
2007,11,aus,5,0
2007,11,aus,6,0
2007,11,aus,7,0
2007,11,aus,8,0
2007,11,aus,9,0
2007,11,aus,a,0
2007,12,aus,0,0
2007,12,aus,1,0
2007,12,aus,2,0
2007,12,aus,3,0
2007,12,aus,4,0
2007,12,aus,5,0
2007,12,aus,6,0
2007,12,aus,7,0
2007,12,aus,8,0
2007,12,aus,9,0
2007,12,aus,a,0
2008,1,aus,0,0
2008,1,aus,1,0
2008,1,aus,2,0
2008,1,aus,3,0
2008,1,aus,4,0
2008,1,aus,5,0
2008,1,aus,6,0
2008,1,aus,7,0
2008,1,aus,8,0
2008,1,aus,9,0
2008,1,aus,a,0
2008,2,aus,0,0
2008,2,aus,1,0
2008,2,aus,2,0
2008,2,aus,3,0
2008,2,aus,4,0
2008,2,aus,5,0
2008,2,aus,6,0
2008,2,aus,7,0
2008,2,aus,8,0
2008,2,aus,9,0
2008,2,aus,a,0
2008,3,aus,0,0
2008,3,aus,1,0
2008,3,aus,2,0
2008,3,aus,3,0
2008,3,aus,4,0
2008,3,aus,5,0
2008,3,aus,6,0
2008,3,aus,7,0
2008,3,aus,8,0
2008,3,aus,9,0
2008,3,aus,a,0
2008,4,aus,0,0
2008,4,aus,1,0
2008,4,aus,2,0
2008,4,aus,3,0
2008,4,aus,4,0
2008,4,aus,5,0
2008,4,aus,6,0
2008,4,aus,7,0
2008,4,aus,8,0
2008,4,aus,9,0
2008,4,aus,a,0
2008,5,aus,0,1
2008,5,aus,1,0
2008,5,aus,2,0
2008,5,aus,3,0
2008,5,aus,4,0
2008,5,aus,5,0
2008,5,aus,6,0
2008,5,aus,7,0
2008,5,aus,8,0
2008,5,aus,9,0
